258 th frame's encode time cost:24, its send time cost:0
259 th frame's encode time cost:23, its send time cost:1
260 th frame's encode time cost:24, its send time cost:1
261 th frame's encode time cost:25, its send time cost:0
262 th frame's encode time cost:24, its send time cost:2
263 th frame's encode time cost:22, its send time cost:1
264 th frame's encode time cost:24, its send time cost:2
265 th frame's encode time cost:23, its send time cost:2
266 th frame's encode time cost:26, its send time cost:1
267 th frame's encode time cost:24, its send time cost:1
268 th frame's encode time cost:30, its send time cost:1
269 th frame's encode time cost:26, its send time cost:0
270 th frame's encode time cost:76, its send time cost:2
271 th frame's encode time cost:21, its send time cost:1
272 th frame's encode time cost:24, its send time cost:4
273 th frame's encode time cost:33, its send time cost:1
274 th frame's encode time cost:29, its send time cost:5
275 th frame's encode time cost:22, its send time cost:0
276 th frame's encode time cost:23, its send time cost:1
277 th frame's encode time cost:24, its send time cost:0
278 th frame's encode time cost:25, its send time cost:0
279 th frame's encode time cost:23, its send time cost:0
280 th frame's encode time cost:23, its send time cost:0
281 th frame's encode time cost:23, its send time cost:1
282 th frame's encode time cost:23, its send time cost:2
283 th frame's encode time cost:20, its send time cost:1
284 th frame's encode time cost:20, its send time cost:1
285 th frame's encode time cost:22, its send time cost:1
286 th frame's encode time cost:27, its send time cost:0
287 th frame's encode time cost:23, its send time cost:0
288 th frame's encode time cost:27, its send time cost:1
289 th frame's encode time cost:13, its send time cost:0
290 th frame's encode time cost:30, its send time cost:0
291 th frame's encode time cost:20, its send time cost:0
292 th frame's encode time cost:20, its send time cost:0
293 th frame's encode time cost:33, its send time cost:1
294 th frame's encode time cost:18, its send time cost:0
295 th frame's encode time cost:20, its send time cost:0
296 th frame's encode time cost:34, its send time cost:1
297 th frame's encode time cost:24, its send time cost:1
298 th frame's encode time cost:20, its send time cost:1
299 th frame's encode time cost:21, its send time cost:10
300 th frame's encode time cost:24, its send time cost:1
301 th frame's encode time cost:23, its send time cost:0
302 th frame's encode time cost:14, its send time cost:10
303 th frame's encode time cost:20, its send time cost:0
304 th frame's encode time cost:28, its send time cost:2
305 th frame's encode time cost:24, its send time cost:1
306 th frame's encode time cost:23, its send time cost:1
307 th frame's encode time cost:25, its send time cost:1
308 th frame's encode time cost:24, its send time cost:1
309 th frame's encode time cost:28, its send time cost:1
310 th frame's encode time cost:22, its send time cost:1
311 th frame's encode time cost:24, its send time cost:0
312 th frame's encode time cost:27, its send time cost:1
313 th frame's encode time cost:24, its send time cost:1
314 th frame's encode time cost:22, its send time cost:1
315 th frame's encode time cost:26, its send time cost:0
316 th frame's encode time cost:21, its send time cost:1
317 th frame's encode time cost:23, its send time cost:1
318 th frame's encode time cost:21, its send time cost:4
319 th frame's encode time cost:40, its send time cost:0
320 th frame's encode time cost:28, its send time cost:3
321 th frame's encode time cost:23, its send time cost:0
322 th frame's encode time cost:36, its send time cost:0
323 th frame's encode time cost:26, its send time cost:0
324 th frame's encode time cost:22, its send time cost:1
325 th frame's encode time cost:24, its send time cost:1
326 th frame's encode time cost:21, its send time cost:5
327 th frame's encode time cost:23, its send time cost:1
328 th frame's encode time cost:24, its send time cost:1
329 th frame's encode time cost:21, its send time cost:1
330 th frame's encode time cost:24, its send time cost:1
331 th frame's encode time cost:21, its send time cost:3
332 th frame's encode time cost:23, its send time cost:1
333 th frame's encode time cost:28, its send time cost:2
334 th frame's encode time cost:19, its send time cost:0
335 th frame's encode time cost:10, its send time cost:10
336 th frame's encode time cost:10, its send time cost:0
337 th frame's encode time cost:24, its send time cost:0
338 th frame's encode time cost:15, its send time cost:0
339 th frame's encode time cost:13, its send time cost:0
